VARIABLES = "CoordinateX", "CoordinateY", "CoordinateZ"
Zone T="wing_surface" I=2400
DATAPACKING=POINT
0.000599 0.028707 0.000000 
0.263134 0.089147 0.000000 
0.525658 0.147994 0.000000 
0.788171 0.205232 0.000000 
1.050674 0.260831 0.000000 
1.313168 0.314721 0.000000 
1.575653 0.366766 0.000000 
1.838131 0.416704 0.000000 
2.100602 0.464059 0.000000 
2.363067 0.508032 0.000000 
2.625526 0.547410 0.000000 
2.887981 0.581054 0.000000 
3.150432 0.608730 0.000000 
3.412880 0.630543 0.000000 
3.675326 0.646873 0.000000 
3.937770 0.658391 0.000000 
4.200214 0.666025 0.000000 
4.462657 0.670824 0.000000 
4.725101 0.673273 0.000000 
4.987547 0.673300 0.000000 
5.249996 0.670753 0.000000 
5.512447 0.665446 0.000000 
5.774902 0.657178 0.000000 
6.037362 0.645766 0.000000 
6.299827 0.631104 0.000000 
6.562298 0.613151 0.000000 
6.824777 0.591866 0.000000 
7.087263 0.567211 0.000000 
7.349757 0.539143 0.000000 
7.612261 0.507624 0.000000 
7.874774 0.472615 0.000000 
8.137299 0.434106 0.000000 
8.399835 0.392096 0.000000 
8.662383 0.346585 0.000000 
8.924944 0.297573 0.000000 
9.187520 0.245060 0.000000 
9.450109 0.189046 0.000000 
9.712714 0.129532 0.000000 
9.975336 0.066516 0.000000 
10.237974 0.000000 0.000000 
0.000599 0.028707 0.000000 
0.263057 -0.040875 0.000000 
0.525527 -0.106993 0.000000 
0.788008 -0.169449 0.000000 
1.050499 -0.228028 0.000000 
1.312998 -0.282489 0.000000 
1.575506 -0.332581 0.000000 
1.838022 -0.378062 0.000000 
2.100545 -0.418746 0.000000 
2.363074 -0.454597 0.000000 
2.625608 -0.485850 0.000000 
2.888146 -0.512877 0.000000 
3.150689 -0.535840 0.000000 
3.413235 -0.555056 0.000000 
3.675782 -0.571072 0.000000 
3.938332 -0.584656 0.000000 
4.200882 -0.596720 0.000000 
4.463432 -0.608159 0.000000 
4.725981 -0.618978 0.000000 
4.988529 -0.628419 0.000000 
5.251074 -0.635634 0.000000 
5.513616 -0.639740 0.000000 
5.776155 -0.639843 0.000000 
6.038689 -0.635078 0.000000 
6.301217 -0.625093 0.000000 
6.563739 -0.610160 0.000000 
6.826255 -0.590627 0.000000 
7.088762 -0.566835 0.000000 
7.351261 -0.539087 0.000000 
7.613751 -0.507624 0.000000 
7.876231 -0.472615 0.000000 
8.138700 -0.434106 0.000000 
8.401158 -0.392096 0.000000 
8.663603 -0.346585 0.000000 
8.926035 -0.297573 0.000000 
9.188454 -0.245060 0.000000 
9.450858 -0.189046 0.000000 
9.713246 -0.129532 0.000000 
9.975618 -0.066516 0.000000 
10.237974 0.000000 0.000000 
0.485894 0.112337 1.013103 
0.740416 0.171530 1.013103 
0.994925 0.229001 1.013103 
1.249422 0.284759 1.013103 
1.503908 0.338794 1.013103 
1.758384 0.391061 1.013103 
2.012850 0.441449 1.013103 
2.267307 0.489724 1.013103 
2.521756 0.535445 1.013103 
2.776199 0.577855 1.013103 
3.030635 0.615797 1.013103 
3.285066 0.648176 1.013103 
3.539492 0.674764 1.013103 
3.793915 0.695661 1.013103 
4.048335 0.711241 1.013103 
4.302752 0.722162 1.013103 
4.557169 0.729337 1.013103 
4.811585 0.733798 1.013103 
5.066001 0.736024 1.013103 
5.320419 0.735950 1.013103 
5.574839 0.733433 1.013103 
5.829262 0.728293 1.013103 
6.083688 0.720339 1.013103 
6.338119 0.709395 1.013103 
6.592555 0.695356 1.013103 
6.846998 0.678170 1.013103 
7.101448 0.657792 1.013103 
7.355905 0.634176 1.013103 
7.610372 0.607277 1.013103 
7.864848 0.577054 1.013103 
8.119334 0.543473 1.013103 
8.373831 0.506560 1.013103 
8.628341 0.466359 1.013103 
8.882863 0.422903 1.013103 
9.137399 0.376220 1.013103 
9.391949 0.326332 1.013103 
9.646515 0.273260 1.013103 
9.901097 0.217023 1.013103 
10.155696 0.157639 1.013103 
10.410313 0.095128 1.013103 
0.485894 0.112337 1.013103 
0.740317 0.046247 1.013103 
0.994752 -0.016457 1.013103 
1.249200 -0.075626 1.013103 
1.503659 -0.131091 1.013103 
1.758128 -0.182663 1.013103 
2.012606 -0.230138 1.013103 
2.267093 -0.273317 1.013103 
2.521588 -0.312038 1.013103 
2.776090 -0.346253 1.013103 
3.030599 -0.376126 1.013103 
3.285112 -0.401941 1.013103 
3.539631 -0.423843 1.013103 
3.794153 -0.442145 1.013103 
4.048677 -0.457387 1.013103 
4.303204 -0.470325 1.013103 
4.557732 -0.481860 1.013103 
4.812261 -0.492873 1.013103 
5.066789 -0.503369 1.013103 
5.321316 -0.512598 1.013103 
5.575841 -0.519722 1.013103 
5.830362 -0.523869 1.013103 
6.084881 -0.524156 1.013103 
6.339394 -0.519728 1.013103 
6.593902 -0.510236 1.013103 
6.848404 -0.495947 1.013103 
7.102899 -0.477205 1.013103 
7.357386 -0.454346 1.013103 
7.611864 -0.427670 1.013103 
7.866333 -0.397419 1.013103 
8.120791 -0.363750 1.013103 
8.375238 -0.326633 1.013103 
8.629673 -0.286007 1.013103 
8.884096 -0.241863 1.013103 
9.138504 -0.194221 1.013103 
9.392898 -0.143115 1.013103 
9.647277 -0.088586 1.013103 
9.901640 -0.030676 1.013103 
10.155985 0.030575 1.013103 
10.410313 0.095128 1.013103 
0.971006 0.197154 2.026207 
1.217528 0.255131 2.026207 
1.464036 0.311242 2.026207 
1.710531 0.365517 2.026207 
1.957015 0.417969 2.026207 
2.203487 0.468578 2.026207 
2.449950 0.517257 2.026207 
2.696403 0.563804 2.026207 
2.942847 0.607819 2.026207 
3.189285 0.648601 2.026207 
3.435715 0.685066 2.026207 
3.682140 0.716183 2.026207 
3.928561 0.741729 2.026207 
4.174977 0.761799 2.026207 
4.421390 0.776748 2.026207 
4.667801 0.787213 2.026207 
4.914211 0.794073 2.026207 
5.160620 0.798326 2.026207 
5.407030 0.800443 2.026207 
5.653441 0.800370 2.026207 
5.899854 0.797977 2.026207 
6.146271 0.793101 2.026207 
6.392691 0.785567 2.026207 
6.639116 0.775212 2.026207 
6.885548 0.761927 2.026207 
7.131985 0.745639 2.026207 
7.378430 0.726279 2.026207 
7.624884 0.703788 2.026207 
7.871347 0.678110 2.026207 
8.117820 0.649203 2.026207 
8.364304 0.617041 2.026207 
8.610800 0.581691 2.026207 
8.857308 0.543244 2.026207 
9.103831 0.501770 2.026207 
9.350368 0.457321 2.026207 
9.596920 0.409938 2.026207 
9.843489 0.359654 2.026207 
10.090075 0.306503 2.026207 
10.336679 0.250515 2.026207 
10.583302 0.191722 2.026207 
0.971006 0.197154 2.026207 
1.217423 0.134569 2.026207 
1.463853 0.075275 2.026207 
1.710296 0.019374 2.026207 
1.956751 -0.033016 2.026207 
2.203217 -0.081757 2.026207 
2.449693 -0.126694 2.026207 
2.696178 -0.167671 2.026207 
2.942671 -0.204550 2.026207 
3.189172 -0.237265 2.026207 
3.435680 -0.265900 2.026207 
3.682193 -0.290637 2.026207 
3.928711 -0.311601 2.026207 
4.175233 -0.329094 2.026207 
4.421758 -0.343643 2.026207 
4.668285 -0.355983 2.026207 
4.914814 -0.366992 2.026207 
5.161343 -0.377532 2.026207 
5.407871 -0.387611 2.026207 
5.654398 -0.396497 2.026207 
5.900923 -0.403377 2.026207 
6.147445 -0.407402 2.026207 
6.393963 -0.407711 2.026207 
6.640476 -0.403473 2.026207 
6.886983 -0.394342 2.026207 
7.133483 -0.380575 2.026207 
7.379976 -0.362500 2.026207 
7.626461 -0.340446 2.026207 
7.872936 -0.314706 2.026207 
8.119402 -0.285522 2.026207 
8.365856 -0.253046 2.026207 
8.612298 -0.217199 2.026207 
8.858728 -0.177887 2.026207 
9.105143 -0.135094 2.026207 
9.351545 -0.088857 2.026207 
9.597931 -0.039236 2.026207 
9.844300 0.013702 2.026207 
10.090652 0.069886 2.026207 
10.336987 0.129247 2.026207 
10.583302 0.191722 2.026207 
1.455897 0.283429 3.039310 
1.694435 0.340226 3.039310 
1.932959 0.394994 3.039310 
2.171471 0.447785 3.039310 
2.409971 0.498633 3.039310 
2.648459 0.547541 3.039310 
2.886938 0.594451 3.039310 
3.125407 0.639196 3.039310 
3.363868 0.681425 3.039310 
3.602322 0.720508 3.039310 
3.840770 0.755457 3.039310 
4.079212 0.785321 3.039310 
4.317649 0.809887 3.039310 
4.556083 0.829237 3.039310 
4.794514 0.843703 3.039310 
5.032943 0.853881 3.039310 
5.271371 0.860600 3.039310 
5.509800 0.864803 3.039310 
5.748229 0.866944 3.039310 
5.986660 0.866988 3.039310 
6.225094 0.864831 3.039310 
6.463532 0.860330 3.039310 
6.701975 0.853336 3.039310 
6.940423 0.843708 3.039310 
7.178877 0.831329 3.039310 
7.417339 0.816085 3.039310 
7.655810 0.797872 3.039310 
7.894289 0.776603 3.039310 
8.132779 0.752209 3.039310 
8.371280 0.724642 3.039310 
8.609793 0.693888 3.039310 
8.848319 0.660061 3.039310 
9.086859 0.623305 3.039310 
9.325414 0.583725 3.039310 
9.563984 0.541395 3.039310 
9.802571 0.496369 3.039310 
10.041176 0.448690 3.039310 
10.279799 0.398396 3.039310 
10.518442 0.345522 3.039310 
10.757105 0.290104 3.039310 
1.455897 0.283429 3.039310 
1.694343 0.224349 3.039310 
1.932804 0.168450 3.039310 
2.171277 0.115782 3.039310 
2.409763 0.066414 3.039310 
2.648259 0.020430 3.039310 
2.886765 -0.022069 3.039310 
3.125281 -0.060966 3.039310 
3.363805 -0.096145 3.039310 
3.602336 -0.127520 3.039310 
3.840874 -0.155082 3.039310 
4.079417 -0.178895 3.039310 
4.317965 -0.199062 3.039310 
4.556516 -0.215867 3.039310 
4.795070 -0.229812 3.039310 
5.033626 -0.241603 3.039310 
5.272183 -0.252085 3.039310 
5.510739 -0.262090 3.039310 
5.749295 -0.271634 3.039310 
5.987849 -0.280018 3.039310 
6.226400 -0.286467 3.039310 
6.464947 -0.290172 3.039310 
6.703490 -0.290312 3.039310 
6.942027 -0.286089 3.039310 
7.180557 -0.277168 3.039310 
7.419080 -0.263779 3.039310 
7.657595 -0.246230 3.039310 
7.896100 -0.224834 3.039310 
8.134595 -0.199874 3.039310 
8.373079 -0.171590 3.039310 
8.611551 -0.140136 3.039310 
8.850010 -0.105420 3.039310 
9.088456 -0.067337 3.039310 
9.326886 -0.025876 3.039310 
9.565300 0.018916 3.039310 
9.803698 0.066966 3.039310 
10.042079 0.118193 3.039310 
10.280441 0.172511 3.039310 
10.518783 0.229840 3.039310 
10.757105 0.290104 3.039310 
1.940517 0.371531 4.052414 
2.171094 0.427272 4.052414 
2.401658 0.480796 4.052414 
2.632209 0.532175 4.052414 
2.862750 0.581466 4.052414 
3.093280 0.628694 4.052414 
3.323800 0.673831 4.052414 
3.554313 0.716751 4.052414 
3.784817 0.757161 4.052414 
4.015316 0.794519 4.052414 
4.245808 0.827959 4.052414 
4.476296 0.856632 4.052414 
4.706781 0.880334 4.052414 
4.937262 0.899132 4.052414 
5.167742 0.913320 4.052414 
5.398221 0.923437 4.052414 
5.628700 0.930241 4.052414 
5.859181 0.934593 4.052414 
6.089663 0.936926 4.052414 
6.320149 0.937234 4.052414 
6.550638 0.935441 4.052414 
6.781132 0.931443 4.052414 
7.011633 0.925122 4.052414 
7.242140 0.916368 4.052414 
7.472654 0.905051 4.052414 
7.703178 0.890999 4.052414 
7.933711 0.874053 4.052414 
8.164255 0.854088 4.052414 
8.394811 0.831013 4.052414 
8.625379 0.804774 4.052414 
8.855960 0.775371 4.052414 
9.086556 0.742971 4.052414 
9.317168 0.707775 4.052414 
9.547796 0.669924 4.052414 
9.778441 0.629510 4.052414 
10.009105 0.586595 4.052414 
10.239787 0.541224 4.052414 
10.470490 0.493433 4.052414 
10.701214 0.443253 4.052414 
10.931960 0.390713 4.052414 
1.940517 0.371531 4.052414 
2.171039 0.315853 4.052414 
2.401575 0.263232 4.052414 
2.632123 0.213668 4.052414 
2.862682 0.167174 4.052414 
3.093252 0.123779 4.052414 
3.323831 0.083532 4.052414 
3.554418 0.046507 4.052414 
3.785013 0.012799 4.052414 
4.015615 -0.017474 4.052414 
4.246222 -0.044198 4.052414 
4.476834 -0.067308 4.052414 
4.707449 -0.086874 4.052414 
4.938067 -0.103155 4.052414 
